ITUB3.SA;22,72;10/09/2020 18:23:57;Null;NULL;
PNVL4.SA;21,85;10/09/2020 18:23:57;Null;NULL;
ABEV3.SA;12,31;10/09/2020 18:23:57;Segundo informações do Estado, a tendência que as ações da Ambev caia o preço ou permaneça no NULL;empate, pois terá um reajuste no preço das cerveja, sendo assim corre o risco de descer ou empatar, se tiver lucro será muito pouco NULL;para o esperado.12.31 BRL −0.04 (−0.32%);NULL;
ITUB3.SA;22,72;10/09/2020 18:35:24;Null;NULL;
PNVL4.SA;21,85;10/09/2020 18:35:24;Null;NULL;
ABEV3.SA;12,31;10/09/2020 18:35:24;Null;NULL;
ITUB3.SA;22,72;10/09/2020 18:45:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 18:45:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 18:45:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 19:00:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 19:00:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 19:00:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 19:15:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 19:15:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 19:15:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 19:30:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 19:30:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 19:30:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 19:45:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 19:45:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 19:45:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 20:00:02;Null;NULL;
PNVL4.SA;21,85;10/09/2020 20:00:02;Null;NULL;
ABEV3.SA;12,31;10/09/2020 20:00:02;Null;NULL;
ITUB3.SA;22,72;10/09/2020 20:15:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 20:15:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 20:15:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 20:30:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 20:30:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 20:30:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 20:45:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 20:45:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 20:45:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 21:00:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 21:00:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 21:00:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 21:15:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 21:15:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 21:15:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 21:30:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 21:30:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 21:30:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 21:45:01;Null;NULL;
PNVL4.SA;21,85;10/09/2020 21:45:01;Null;NULL;
ABEV3.SA;12,31;10/09/2020 21:45:01;Null;NULL;
ITUB3.SA;22,72;10/09/2020 22:00:02;Null;NULL;
PNVL4.SA;21,85;10/09/2020 22:00:02;Null;NULL;
ABEV3.SA;12,31;10/09/2020 22:00:02;Null;NULL;
ITUB3.SA;22,72;10/09/2020 22:15:02;Null;NULL;
PNVL4.SA;21,85;10/09/2020 22:15:02;Null;NULL;
ABEV3.SA;12,31;10/09/2020 22:15:02;Null;NULL;
ITUB3.SA;22,72;10/09/2020 22:30:02;Null;NULL;
PNVL4.SA;21,85;10/09/2020 22:30:02;Null;NULL;
ABEV3.SA;12,31;10/09/2020 22:30:02;Null;NULL;
ITUB3.SA;22,72;11/09/2020 09:30:01;Null;NULL;
PNVL4.SA;21,85;11/09/2020 09:30:01;Null;NULL;
ABEV3.SA;12,31;11/09/2020 09:30:01;Null;NULL;
ITUB3.SA;22,72;11/09/2020 09:45:01;Null;NULL;
PNVL4.SA;21,85;11/09/2020 09:45:01;Null;NULL;
ABEV3.SA;12,31;11/09/2020 09:45:01;Null;NULL;
ITUB3.SA;22,72;11/09/2020 10:00:01;Null;NULL;
PNVL4.SA;21,85;11/09/2020 10:00:01;Null;NULL;
ABEV3.SA;12,31;11/09/2020 10:00:01;Null;NULL;
ITUB3.SA;22,72;11/09/2020 10:15:01;Null;NULL;
PNVL4.SA;21,85;11/09/2020 10:15:01;Null;NULL;
ABEV3.SA;12,31;11/09/2020 10:15:01;Null;NULL;
ITUB3.SA;22,67;11/09/2020 10:30:01;Null;NULL;
PNVL4.SA;21,85;11/09/2020 10:30:01;Null;NULL;
ABEV3.SA;12,37;11/09/2020 10:30:01;Null;NULL;
ITUB3.SA;22,61;11/09/2020 10:45:01;Null;NULL;
PNVL4.SA;21,50;11/09/2020 10:45:01;Null;NULL;
ABEV3.SA;12,30;11/09/2020 10:45:01;Null;NULL;
ITUB3.SA;22,54;11/09/2020 11:00:01;Null;NULL;
PNVL4.SA;21,55;11/09/2020 11:00:01;Null;NULL;
ABEV3.SA;12,30;11/09/2020 11:00:01;Null;NULL;
ITUB3.SA;22,37;11/09/2020 11:15:01;Null;NULL;
PNVL4.SA;21,30;11/09/2020 11:15:01;Null;NULL;
ABEV3.SA;12,14;11/09/2020 11:15:01;Null;NULL;
ITUB3.SA;22,37;11/09/2020 11:30:01;Null;NULL;
PNVL4.SA;21,13;11/09/2020 11:30:01;Null;NULL;
ABEV3.SA;12,12;11/09/2020 11:30:01;Null;NULL;
ITUB3.SA;22,46;11/09/2020 11:45:01;Null;NULL;
